event_id,date,year,month,milestone_name,organization,milestone_type,significance_score,description,is_product_launch,is_research,is_open_source,is_reasoning
E001,2020-05-28,2020,5,GPT-3 paper,OpenAI,scaling,9,Few-shot learning emerges with 175B params,0,1,0,0
E002,2020-11-30,2020,11,AlphaFold 2,DeepMind,domain_breakthrough,10,Protein structure prediction at near-experimental accuracy,0,0,0,0
E003,2021-01-05,2021,1,DALL-E paper,OpenAI,multimodal,8,Text-to-image generation,0,0,0,0
E004,2021-01-11,2021,1,Switch Transformer,Google,architecture,7,First trillion-parameter MoE,0,0,0,0
E005,2021-07-15,2021,7,Codex / GitHub Copilot,OpenAI/GitHub,product,9,AI coding assistant goes public,1,0,0,0
E006,2021-08-10,2021,8,Foundation Models paper,Stanford CRFM,concept,8,Term 'foundation models' coined,0,1,0,0
E007,2022-03-29,2022,3,Chinchilla scaling laws,DeepMind,research,9,Optimal compute allocation 20 tokens/param,0,1,0,0
E008,2022-04-04,2022,4,PaLM paper,Google,scaling,8,"540B model, chain-of-thought emergent",0,1,0,0
E009,2022-04-13,2022,4,DALL-E 2,OpenAI,multimodal,9,Photorealistic text-to-image,0,0,0,0
E010,2022-05-23,2022,5,Stable Diffusion,Stability AI,open_source,10,Open weights image generation,0,0,1,0
E011,2022-08-22,2022,8,Stable Diffusion 1.4 public,Stability AI,open_source,9,Image gen democratized,0,0,1,0
E012,2022-11-30,2022,11,ChatGPT launch,OpenAI,product,10,"Mass-market AI chatbot, 100M users in 2 months",1,0,0,0
E013,2023-01-30,2023,1,ChatGPT Plus $20/mo,OpenAI,monetization,7,Paid AI subscription model,0,0,0,0
E014,2023-02-07,2023,2,Bing Chat / Sydney,Microsoft,product,8,Chat in search,1,0,0,0
E015,2023-02-24,2023,2,LLaMA release,Meta,open_source,9,Open model weights for research,0,0,1,0
E016,2023-03-14,2023,3,GPT-4,OpenAI,scaling,10,Multimodal frontier model,0,1,0,0
E017,2023-03-14,2023,3,Claude 1,Anthropic,competition,8,Anthropic enters market,1,0,0,0
E018,2023-03-21,2023,3,Stanford Alpaca,Stanford,research,7,Instruction tuning on LLaMA,0,1,0,0
E019,2023-05-10,2023,5,PaLM 2 / Bard,Google,competition,8,Google responds,1,0,0,0
E020,2023-07-11,2023,7,Claude 2 100K context,Anthropic,long_context,8,Long context era begins,0,0,0,0
E021,2023-07-18,2023,7,LLaMA 2 commercial,Meta,open_source,10,Open weights with commercial use,0,0,1,0
